,,
,Description,Location
Birds Canada,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Birds Canada,
,"Every single day, Citizen Scientists (volunteers) like you share their energy, skill, and bird sightings through Birds Canada's research and monitoring programs–and this action helps inform conservation action!",
Breathe Easy,"Sierra Club Canada Foundation, Ecology Ottawa",Ontario
,Breathe Easy is an Ottawa-based citizen science project run by Sierra Club Canada Foundation's Ontario chapter. The project has two goals: 1) to better understand citywide air quality by supplementing permanent monitoring stations with low-cost monitors; and 2) to empower action on air pollution at all levels.,
,Help us understand local air pollution by becoming a program ambassador or air quality sampler!</ p>,
,,
,,
,,
,,
,,
,,
,,
,,
Budworm Tracker,,"New Brunswick, Quebec"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Natural Resources Canada/Healthy Forest Partnership,
,The spruce budworm is the most destructive insect in eastern Canadian forests. Citizen scientists play a major role in providing insight into why populations rise and spread the way they do. Watch this video to learn more.,
Canadian Aquatic Biomonitoring Network (CABIN),Environment and Climate Change Canada,Canada
,The Canadian Aquatic Biomonitoring Network (CABIN) is an aquatic biomonitoring program that assesses the health of fresh water ecosystems in Canada. Sign up for a training program in your closest field course. You can become certified to apply the CABIN protocols to your biomonitoring studies and gain access to the national CABIN database.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Canadian Sclerotinia Initiative,,"Ontario, Quebec"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,McGill Pulse Breeding and Genetics Lab,
,"To evaluate the epidemiology of the white mold disease, we aim to build a Sclerotinia sample collection from Quebec and Ontario farms. A comparative phenotypic and genomic analysis of the collected isolates will be performed. The results would help us to unravel resistance in common bean (Phaseolus vulgaris L.) to different fungal strains, as well as other susceptible crops. Please help our research by collecting sclerotia in your area, along with the coordinates of the sampled location, and send them to us.",
Canadian Wildlife Health Cooperative,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Canadian Wildlife Health Cooperative (CWHC),
,Contact the CWHC regional centre in your area to report sick or dead wildlife and help track the health of wild populations.,
Citizen Science in Surrey,"Metro Vancouver Regional District, Surrey's Natural Areas Partnership (SNAP), Surrey's Salmon Habitat and Restoration Program (SHaRP)",British Columbia
,The City of Surrey in southwest BC is utilizing community or citizen science as a way for residents to share their daily explorations of nature. All the valuable data being gathered contributes to the City's goals around biodiversity conservation.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Citizen Science: Pain Research,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,BC SUPPORT Unit: British Columbia Academic Health Science Network,
,"You can help guide health research and improve the lives of others with similar health problems. By sharing your experiences, we can learn how pain affects different people, and together we can discover new research ideas.",
City Nature Challenge,"Canadian Wildlife Federation, California Academy of Sciences and the Los Angeles Natural History Museum",Canada
,"Participate in the annual City Nature Challenge! The City Nature Challenge is a four-day bioblitz that takes place at the end of April each year. Cities around the world engage in a collaborative competition to see who can get the most wildlife observations, find the most species and engage the most people in citizen science for nature.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
Colony B,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,McGill University,
,Colony B is a fast paced puzzle game specifically designed for phones and tablets. But Colony B is much more than that! Every game played enables you to help researchers working on microbes and human health. Play Colony B and become a citizen scientist!,
"Community Collaborative Rain, Hail and Snow Network",,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Agriculture and Agri-Food Canada/Environment and Climate Change Canada,
,Join this volunteer network of weather observers who measure and map precipitation (rain and snow) in their communities.,
DRAW - Data Rescue: Archives & Weather,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,McGill Observatory,
,Help us uncover the story of Montreal's evolving climate captured in the McGill Observatory's historical weather logs. Your transcriptions will help scientists and historians gain a better understanding of our environment and its impact on our city and its people.,
Eagle Watch,,Alberta
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Rocky Mountain Eagle Research Foundation,
,"The Rocky Mountain Eagle Research Foundation is dedicated to the study of Eagles and other birds of prey, primarily through the documentation of their spring and fall migrations along the mountains of Western Canada.",
Early Detection and Rapid Response Network Ontario,,Ontario
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Invasive Species Centre,
,"Join the EDRR Network for access to workshops, training materials and resources aimed at helping citizens report and manage invasive species in their communities.",
eButterfly,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"Espace pour la vie, Vermont Center for Ecostudies, University of Arizona, University of Ottawa",
,"This website allows users to track their butterfly sightings and locations; organize, store and share photos; and make a valuable contribution to science and conservation.",
EcoSpark,,Ontario
,,
,,
,,
,,
,,
,,
,,
,,
,,
,EcoSpark,
,"EcoSpark offers a variety of citizen science projects to engage youth and communities in taking an active role in protecting and sustaining their local environment. To learn more about our citizen science programs, resource guides, monitoring initiatives and how you can inspire positive change in your community, visit our website.",
FluWatch,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Public Health Agency of Canada,
,Become a FluWatcher and help monitor the spread of flu-like illnesses in Canada.,
Friends of the Muskoka Watershed Citizen Science Program,Friends of the Muskoka Watershed Citizen Science Program,Ontario
,"The Citizen Science Program was developed to further enhance our understanding of the benefits of residential wood ash to native tree species throughout the watershed and beyond. Citizen Scientists identify two trees of the same species, and similar size. Sample kits and filtered, chemically analyzed ash are provided and spread on a test tree, and ash is not spread on the control tree. Height, diameter, canopy cover and general health are monitored of each tree over time.",
Frog Watch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,NatureWatch,
,Find out how to participate in a program to help increase knowledge of frogs and toads in Canada.,
Ice Watch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,NatureWatch,
,Contribute to Canadian climate change research by helping to record and analyze when ice forms and thaws on bodies of water.,
iNaturalist.ca,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Connect with nature in a whole new way. Explore. Learn. Contribute to conservation with iNaturalist.ca,
Mackenzie-Beaufort Ice Breakup Facebook Group,Natural Resources Canada,Northwest Territories
,This group brings together people interested in the progression of ice breakup in the Mackenzie-Beaufort region. All are welcome to join and submit pictures and comments!,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Milkweed Watch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,NatureWatch,
,Monarch butterflies need milkweed plants for their reproduction. Help track the health of butterfly populations in Canada by identifying the location of milkweed plants.,
Mission Monarch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Space for Life Insectarium,
,"Share your observations of monarchs and milkweeds to contribute to the conservation of this butterfly, a species at risk. In order to find and protect the monarch's critical breeding habitat, we invite all citizens to share their observations of monarch butterflies, caterpillars, eggs and chrysalises, as well as milkweed, the only plant on which the monarch lays its eggs.",
My Tree,Natural Resources Canada,Canada
,"Looking for a tree to plant? My Tree is a free app by the Canadian Forest Service that shows which trees will grow best in which Canadian locations. The My Tree app includes more than 180 native and introduced tree species and their colour-coded hardiness zones. You can download My Tree from the Government of Canada's Mobile Centre for Blackberry, iOS, and Android or through your platform app store.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
National Harvest Survey,Environment and Climate Change Canada,Canada
,Migratory Game Bird Hunting Permit holders can participate in two annual surveys:,
,The Harvest Questionnaire Survey (HQS) and,
,The Species Composition Survey (SCS).,
,"These voluntary surveys help estimate the number of each species of waterfowl and other species considered as game bird that are hunted, and the age and sex composition of the harvest.",
,,
,,
,,
,,
,,
,,
Neighbourhood Bat Watch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Quebec Centre for Biodiversity Science,
,Support bat conservation by locating bat colonies and counting the number of bats living in them.,
Notes from Nature - Digitizing Biological Collections in Canada,Agriculture and Agri-Food Canada,Online
,"Biodiversity is at the core of a sustainable agriculture, therefore Agriculture and Agri-Food Canada maintains collections of living and preserved biological material, predominantly of Canadian origin. These add up to millions of insects, plants, fungi, bacteria, and nematodes. With your help transcribing the specimen labels, we can bring this biodiversity data online and available for research and discovery. Join virtual expeditions with volunteers around the world on a straightforward online platform which lets you track your contributions to our Canadian collections.",
,,
,,
,,
,,
,,
,,
,,
,,
,,
Ocean Networks Canada - Citizen Science,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Ocean Networks Canada,
,"Become a digital fisher or coastbuster, and follow live video feeds to help Ocean Networks Canada study the oceans.",
Pacific Salmon Foundation (PSF) Citizen Science Program,Pacific Salmon Foundation,British Columbia
,The Pacific Salmon Foundation (PSF) Citizen Science Program collects high-resolution data on oceanographic conditions and lower trophic levels in the Salish Sea. Contact PSF to report unusual sightings like dead fish and harmful algal blooms https://www.facebook.com/CitizenSciencePhytoplankton/,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Plant Hardiness of Canada,Natural Resources Canada,Canada
,Submit geo-referenced findings of plants in your area! These findings are combined with plant occurrence information to better understand the relationship between plant distribution and climate.,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Plant Watch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,NatureWatch,
,"Participate in Plant Watch to help scientists discover how, and more importantly why, our natural environment is changing.",
Prairie Pest,Prairie Pest Monitoring Network (PPMN),"Alberta, Manitoba, Saskatchewan"
,"The Prairie Pest Monitoring Network is a prairie-wide insect monitoring program. It is designed to keep the Canadian agriculture industry informed of the risks to crop production from pest species, and to highlight and conserve their natural enemies. Subscribe to their weekly newsletter to get weekly information on crop insect and wind forecasts as well as risk maps and protocols!",
,,
,,
,,
,,
,,
,,
,,
,,
,,
Protect fish species in Canada – Wildlife Health Tracker,Canadian Food Inspection Agency,Canada
,"Join a community science initiative to protect fish species in Canada by providing important information about fish sightings. Report fish health observations on the website or search for the ""Wildlife Health Tracker"" app. This tool was created collaboratively by the Canadian Food Inspection Agency (CFIA), the Canadian Animal Health Surveillance System (CAHSS) and the Canadian Wildlife Health Cooperative (CWHC).",
Report an Earthquake,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Natural Resources Canada,
,Did you feel it? Help seismologists determine how your area may respond to future earthquakes by contributing intensity information on the earthquakes you experience.,
Shark sightings,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Fisheries and Oceans Canada,
,"Document and report your encounter with a shark. Most people don't know what to do when and if they see a shark. The answer is: enjoy the view from a safe distance. Sharks are wild animals, and deserve the same level of respect given to any other wild animal.",
Smart Platform: Social Innovation for Public Health,,Online
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"DEPtH Lab, University of Regina",
,"Work with digital epidemiologists to solve critical public health crises such as climate change, COVID-19, and non-communicable disease.",
Snow Knowledge Collective,University of Toronto,Canada
,"Students, educators, families: Head outside this winter and investigate snow conditions in your community with this citizen science project. Is there snow on the ground? Grab your ruler and measure snow depth, and see if you can make a snowball!",
,"Share your observations easily in the online portal, then explore your observations and others alongside true-colour satellite data in the interactive map. Follow us on Twitter @sknowledgeco for updates and learn how to get started!",
,,
,,
,,
,,
,,
,,
,,
,,
Stop-Carcasses (Laurentides),"Stop-Carcasses Laurentides invites cyclists, motorists and walkers to photograph carcasses, animals or even traces on roads and shoulders throughout the Laurentians. The photos are then compiled into a directory that will identify animal movements and road kill hotspots so that municipal and provincial authorities can plan the construction of wildlife passages allowing animals to move under and over roads without causing accidents for motorists, as well as wildlife mortalities.",Quebec
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
STREAM (Sequencing The Rivers for Environmental Assessment and Monitoring),,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"University of Guelph, WWF Canada, Living Lakes Canada and Environment and Climate Change Canada",
,STREAM combines citizen science community-based monitoring with environmental DNA identification (DNA metabarcoding) technology to generate data on biodiversity especially for freshwater benthic macroinvertebrates (i.e. river bugs) to better understand freshwater health across Canada.,
Tree Check Month,Canadian Food Inspection Agency,Canada
,August is Tree Check Month,
,"Every August, the Canadian Food Inspection Agency (CFIA) encourages everyone in Canada to take an active role in protecting Canada's plants by joining plant health enthusiasts from coast to coast to coast who will be participating in Tree Check Month.",
Visual Assessment Survey Tool (VAST),Niagara Coastal,Ontario
,"All you need is a smartphone, and a desire to walk on the beach.",
,"Track the changing coastal conditions of the Great Lakes with VAST! Citizen scientists complete surveys and submit standardized, repeatable images to monitor changes to our shorelines over time. This information can be used to advocate for policy changes, and guide coastal management decisions.",
,,
,,
,,
,,
,,
,,
,,
,,
Volunteer bird surveys,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Environment and Climate Change Canada,
,Data from bird surveys provides information on population status and trends that help identify species or populations requiring conservation action. These bird surveys depend on citizen scientists of all ages and skill levels.,
Watch out for invasive insects!,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,"Canadian Food Inspection Agency, Canadian Plant Health Council",
,"Do you spend time monitoring, photographing or observing insects? If so, your help is needed to watch for and report invasive and migratory insect pests that harm plants, causing damage to Canada’s environment, farm lands, forests, parks and other natural areas. Early detection is critical for slowing the spread of these insect pests.",
Water Rangers,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Water Rangers,
,Water testing for everyone,
,"Our free, open-data platform, water testing kits, and online course are tools for anyone to learn about and protect our lakes, rivers, and oceans.",
Waterton Lakes National Park,,Alberta
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Parks Canada,
,Waterton Lakes National Park has several annual citizen science projects that allow everyday people to gain in-depth knowledge of species found in the park and the issues facing Waterton.,
Wild Whales: Report marine animal sightings,,British Columbia
,,
,,
,,
,,
,,
,,
,,
,,
,,
,Fisheries and Oceans Canada/B.C. Cetacean Sightings Network,
,"Support the conservation of marine animals by reporting sightings of whales, dolphins, and porpoises in British Columbia waters.",
Worm Watch,,Canada
,,
,,
,,
,,
,,
,,
,,
,,
,,
,NatureWatch,
,Discover the diversity beneath your feet by participating in Worm Watch. Help scientists research all the earthworm species in Canada.,
